realqcTrainRealqcValid_grad_1_0.5_2 #inference,realqcTrainRealqcValid_grad_1_0.5_2 accu,realqcTrainRealqcValid #inference,realqcTrainRealqcValid accu,clsTrainRealqcValid #inference,clsTrainRealqcValid accu
4759,51.66666793823242,6800,49.33333206176758,6800,50.66666793823242
9519,76.0,13600,69.0,13600,83.0
14279,90.66666412353516,20400,83.66666412353516,20400,88.66666412353516
19039,86.0,27200,87.33333587646484,27200,87.66666412353516
23800,88.66666412353516,34000,87.33333587646484,34000,91.33333587646484
28559,88.66666412353516,40800,89.0,40800,89.66666412353516
33320,88.66666412353516,47600,88.66666412353516,47600,89.0
38079,89.0,54400,88.33333587646484,54400,88.0
42840,87.66666412353516,61200,87.66666412353516,61200,90.33333587646484
47600,87.66666412353516,68000,87.66666412353516,68000,90.0
