realqcTrainRealqcValid_grad_1_0.5_2 #inference,realqcTrainRealqcValid_grad_1_0.5_2 accu,realqcTrainRealqcValid #inference,realqcTrainRealqcValid accu,clsTrainRealqcValid #inference,clsTrainRealqcValid accu
5500,25.0,7300,28.0,7300,39.33333206176758
11000,32.33333206176758,14600,29.0,14600,40.33333206176758
14700,37.33333206176758,21900,39.33333206176758,21900,48.33333206176758
20200,52.66666793823242,29200,49.66666793823242,29200,56.0
25700,54.0,36500,56.66666793823242,36500,59.33333206176758
29400,45.33333206176758,43800,58.66666793823242,43800,57.33333206176758
34900,47.33333206176758,51100,54.33333206176758,51100,55.33333206176758
40400,48.33333206176758,58400,55.0,58400,56.33333206176758
44100,55.0,65700,56.0,65700,54.66666793823242
49600,60.0,73000,57.0,73000,53.33333206176758
55100,63.66666793823242,80300,57.66666793823242,80300,56.0
58800,63.33333206176758,87600,65.0,87600,57.0
64300,58.33333206176758,94900,60.0,94900,59.33333206176758
69800,60.0,102200,63.66666793823242,102200,61.0
73500,61.66666793823242,109500,63.0,109500,60.33333206176758
