realqcTrainRealqcValid_grad_1_0.5_2 #inference,realqcTrainRealqcValid_grad_1_0.5_2 accu,realqcTrainRealqcValid #inference,realqcTrainRealqcValid accu,clsTrainRealqcValid #inference,clsTrainRealqcValid accu
2500,23.275861740112305,3300,23.275861740112305,3300,28.44827651977539
5000,26.724138259887695,6600,34.482757568359375,6600,31.034482955932617
6700,27.586206436157227,9900,31.034482955932617,9900,27.586206436157227
9200,30.172412872314453,13200,32.75862121582031,13200,21.55172348022461
11700,36.2068977355957,16500,29.310344696044922,16500,18.965517044067383
13400,29.310344696044922,19800,33.620689392089844,19800,25.86206817626953
15900,32.75862121582031,23100,33.620689392089844,23100,25.86206817626953
18400,26.724138259887695,26400,35.344825744628906,26400,28.44827651977539
,,29700,35.344825744628906,29700,23.275861740112305
,,33000,24.13793182373047,33000,22.413793563842773
